"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"planer-hacking-careplan","CarePlan.instantiatesCanonical","CarePlan.instantiatesCanonical","","","",0,*,"","","Y","canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/PlanDefinition|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/Questionnaire|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/Measure|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/ActivityDefinition|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/OperationDefinition|4.0.1]]}
","Instantiates FHIR protocol or definition","The URL pointing to a FHIR-defined protocol, guideline, questionnaire or other definition that is adhered to in whole or in part by this CarePlan.","","","","","","","","","",,,,,"",,,,"CarePlan.instantiatesCanonical",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.instantiatesUri","CarePlan.instantiatesUri","","","",0,*,"","","Y","uri {[]} {[]}
","Instantiates external protocol or definition","The URL pointing to an externally maintained protocol, guideline, questionnaire or other definition that is adhered to in whole or in part by this CarePlan.","This might be an HTML page, PDF, etc. or could just be a non-resolvable URI identifier.","","","","","","","","",,,,,"",,,,"CarePlan.instantiatesUri",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.basedOn","CarePlan.basedOn","","fulfills
","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CarePlan|4.0.1]]}
","Fulfills CarePlan","A care plan that is fulfilled in whole or in part by this care plan.","","Allows tracing of the care plan and tracking whether proposals/recommendations were acted upon.","","","","","","","",,,,,"",,,,"CarePlan.basedOn",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.replaces","CarePlan.replaces","","supersedes
","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CarePlan|4.0.1]]}
","CarePlan replaced by this CarePlan","Completed or terminated care plan whose function is taken by this new care plan.","The replacement could be because the initial care plan was immediately rejected (due to an issue) or because the previous care plan was completed, but the need for the action described by the care plan remains ongoing.","Allows tracing the continuation of a therapy or administrative process instantiated through multiple care plans.","","","","","","","",,,,,"",,,,"CarePlan.replaces",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.partOf","CarePlan.partOf","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CarePlan|4.0.1]]}
","Part of referenced CarePlan","A larger care plan of which this particular care plan is a component or step.","Each care plan is an independent request, such that having a care plan be part of another care plan can cause issues with cascading statuses.  As such, this element is still being discussed.","","","","","","","","",,,,,"",,,,"CarePlan.partOf",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.status","CarePlan.status","","","",1,1,"Y","Y","Y","code {[]} {[]}
","draft | active | on-hold | revoked | completed | entered-in-error | unknown","Indicates whether the plan is currently being acted upon, represents future intentions or is now a historical record.","The unknown code is not to be used to convey other statuses.  The unknown code should be used when one of the statuses applies, but the authoring system doesn't know the current state of the care plan.

This element is labeled as a modifier because the status contains the code entered-in-error that marks the plan as not currently valid.","Allows clinicians to determine whether the plan is actionable or not.","","","","","","","",,"required","Indicates whether the plan is currently being acted upon, represents future intentions or is now a historical record.","http://hl7.org/fhir/ValueSet/request-status|4.0.1","",,,,"CarePlan.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.intent","CarePlan.intent","","","",1,1,"","Y","Y","code {[]} {[]}
","proposal | plan | order | option","Indicates the level of authority/intentionality associated with the care plan and where the care plan fits into the workflow chain.","This element is labeled as a modifier because the intent alters when and how the resource is actually applicable.","Proposals/recommendations, plans and orders all use the same structure and can exist in the same fulfillment chain.","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""plan""/>","","","",,"required","Codes indicating the degree of authority/intentionality associated with a care plan.","http://hl7.org/fhir/ValueSet/care-plan-intent|4.0.1","",,,,"CarePlan.intent",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.category","CarePlan.category","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Type of plan","Identifies what ""kind"" of plan this is to support differentiation between multiple co-existing plans; e.g. ""Home health"", ""psychiatric"", ""asthma"", ""disease management"", ""wellness plan"", etc.","There may be multiple axes of categorization and one plan may serve multiple purposes.  In some cases, this may be redundant with references to CarePlan.concern.","Used for filtering what plan(s) are retrieved and displayed to different types of users.","","","","","","","",,"example","Identifies what ""kind"" of plan this is to support differentiation between multiple co-existing plans; e.g. ""Home health"", ""psychiatric"", ""asthma"", ""disease management"", etc.","http://hl7.org/fhir/ValueSet/care-plan-category|4.0.1","",,,,"CarePlan.category",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.title","CarePlan.title","","","",0,1,"Y","","Y","string {[]} {[]}
","Human-friendly name for the care plan","Human-friendly name for the care plan.","","","","","","","","","",,,,,"",,,,"CarePlan.title",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.description","CarePlan.description","","","",0,1,"Y","","Y","string {[]} {[]}
","Summary of nature of plan","A description of the scope and nature of the plan.","","Provides more detail than conveyed by category.","","","","","","","",,,,,"",,,,"CarePlan.description",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.subject","CarePlan.subject","","patient
","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.no/fhir/ig/planer-hacking/StructureDefinition/planer-hacking-patient]]}
","Who the care plan is for","Identifies the patient or group whose intended care is described by the plan.","","","","","","","","","",,,,,"",,,,"CarePlan.subject",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.encounter","CarePlan.encounter","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Encounter|4.0.1]]}
","Encounter created as part of","The Encounter during which this CarePlan was created or to which the creation of this record is tightly associated.","This will typically be the encounter the event occurred within, but some activities may be initiated prior to or after the official completion of an encounter but still be tied to the context of the encounter. CarePlan activities conducted as a result of the care plan may well occur as part of other encounters.","","","","","","","","",,,,,"",,,,"CarePlan.encounter",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.period","CarePlan.period","","timing
","",0,1,"Y","","Y","Period {[]} {[]}
","Time period plan covers","Indicates when the plan did (or is intended to) come into effect and end.","Any activities scheduled as part of the plan should be constrained to the specified period regardless of whether the activities are planned within a single encounter/episode or across multiple encounters/episodes (e.g. the longitudinal management of a chronic condition).","Allows tracking what plan(s) are in effect at a particular time.","","","","","","","",,,,,"",,,,"CarePlan.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.created","CarePlan.created","","authoredOn
","",0,1,"","","Y","dateTime {[]} {[]}
","Date record was first recorded","Represents when this particular CarePlan record was created in the system, which is often a system-generated date.","","","","","","","","","",,,,,"",,,,"CarePlan.created",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.author","CarePlan.author","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/CareTeam|4.0.1]]}
","Who is the designated responsible party","When populated, the author is responsible for the care plan.  The care plan is attributed to the author.","The author may also be a contributor.  For example, an organization can be an author, but not listed as a contributor.","","","","","","","","",,,,,"",,,,"CarePlan.author",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.contributor","CarePlan.contributor","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/CareTeam|4.0.1]]}
","Who provided the content of the care plan","Identifies the individual(s) or organization who provided the contents of the care plan.","Collaborative care plans may have multiple contributors.","","","","","","","","",,,,,"",,,,"CarePlan.contributor",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.careTeam","CarePlan.careTeam","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CareTeam|4.0.1]]}
","Who's involved in plan?","Identifies all people and organizations who are expected to be involved in the care envisioned by this plan.","","Allows representation of care teams, helps scope care plan.  In some cases may be a determiner of access permissions.","","","","","","","",,,,,"",,,,"CarePlan.careTeam",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.addresses","CarePlan.addresses","","","",1,*,"Y","","Y","Reference {[]} {[CanonicalType[http://hl7.no/fhir/ig/planer-hacking/StructureDefinition/planer-hacking-zone-condition]]}
","Sonebetingelser for planen representeres som PlanerHackingZoneCondition","Identifies the conditions/problems/concerns/diagnoses/etc. whose management and/or mitigation are handled by this plan.","When the diagnosis is related to an allergy or intolerance, the Condition and AllergyIntolerance resources can both be used. However, to be actionable for decision support, using Condition alone is not sufficient as the allergy or intolerance condition needs to be represented as an AllergyIntolerance.","Links plan to the conditions it manages.  The element can identify risks addressed by the plan as well as active conditions.  (The Condition resource can include things like ""at risk for hypertension"" or ""fall risk"".)  Also scopes plans - multiple plans may exist addressing different concerns.","","","","","","","",,,,,"",,,,"CarePlan.addresses",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.supportingInfo","CarePlan.supportingInfo","","","",0,*,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|4.0.1]]}
","Information considered as part of plan","Identifies portions of the patient's record that specifically influenced the formation of the plan.  These might include comorbidities, recent procedures, limitations, recent assessments, etc.","Use ""concern"" to identify specific conditions addressed by the care plan.","Identifies barriers and other considerations associated with the care plan.","","","","","","","",,,,,"",,,,"CarePlan.supportingInfo",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.goal","CarePlan.goal","","","",0,*,"Y","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Goal|4.0.1]]}
","Desired outcome of plan","Describes the intended objective(s) of carrying out the care plan.","Goal can be achieving a particular change or merely maintaining a current state or even slowing a decline.","Provides context for plan.  Allows plan effectiveness to be evaluated by clinicians.","","","","","","","",,,,,"",,,,"CarePlan.goal",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.activity","CarePlan.activity","","","",0,*,"","","","BackboneElement {[]} {[]}
","Action to occur as part of plan","Identifies a planned action to occur as part of the plan.  For example, a medication to be used, lab tests to perform, self-monitoring, education, etc.","","Allows systems to prompt for performance of planned activities, and validate plans against best practice.","","","","","","","",,,,,"",,,,"CarePlan.activity",0,*,"","cpl-3:Provide a reference or detail, not both {detail.empty() or reference.empty()}
ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}"
"planer-hacking-careplan","CarePlan.activity.id","CarePlan.activity.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"planer-hacking-careplan","CarePlan.activity.extension","CarePlan.activity.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"planer-hacking-careplan","CarePlan.activity.modifierExtension","CarePlan.activity.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"planer-hacking-careplan","CarePlan.activity.outcomeCodeableConcept","CarePlan.activity.outcomeCodeableConcept","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Results of the activity","Identifies the outcome at the point when the status of the activity is assessed.  For example, the outcome of an education activity could be patient understands (or not).","Note that this should not duplicate the activity status (e.g. completed or in progress).","","","","","","","","",,"example","Identifies the results of the activity.","http://hl7.org/fhir/ValueSet/care-plan-activity-outcome|4.0.1","",,,,"CarePlan.activity.outcomeCodeableConcept",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.activity.outcomeReference","CarePlan.activity.outcomeReference","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|4.0.1]]}
","Appointment, Encounter, Procedure, etc.","Details of the outcome or action resulting from the activity.  The reference to an ""event"" resource, such as Procedure or Encounter or Observation, is the result/outcome of the activity itself.  The activity can be conveyed using CarePlan.activity.detail OR using the CarePlan.activity.reference (a reference to a “request” resource).","The activity outcome is independent of the outcome of the related goal(s).  For example, if the goal is to achieve a target body weight of 150 lbs and an activity is defined to diet, then the activity outcome could be calories consumed whereas the goal outcome is an observation for the actual body weight measured.","Links plan to resulting actions.","","","","","","","",,,,,"",,,,"CarePlan.activity.outcomeReference",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.activity.progress","CarePlan.activity.progress","","","",0,*,"","","","Annotation {[]} {[]}
","Comments about the activity status/progress","Notes about the adherence/status/progress of the activity.","This element should NOT be used to describe the activity to be performed - that occurs either within the resource pointed to by activity.detail.reference or in activity.detail.description.","Can be used to capture information about adherence, progress, concerns, etc.","","","","","","","",,,,,"",,,,"CarePlan.activity.progress",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.activity.reference","CarePlan.activity.reference","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Appointment|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/CommunicationRequest|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/DeviceRequest|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationRequest|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/NutritionOrder|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/Task|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/ServiceRequest|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/VisionPrescription|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/RequestGroup|4.0.1]]}
","Activity details defined in specific resource","The details of the proposed activity represented in a specific resource.","Standard extension exists ([resource-pertainsToGoal](http://hl7.org/fhir/R4/extension-resource-pertainstogoal.html)) that allows goals to be referenced from any of the referenced resources in CarePlan.activity.reference.  The goal should be visible when the resource referenced by CarePlan.activity.reference is viewed independently from the CarePlan.  Requests that are pointed to by a CarePlan using this element should *not* point to this CarePlan using the ""basedOn"" element.  i.e. Requests that are part of a CarePlan are not ""based on"" the CarePlan.","Details in a form consistent with other applications and contexts of use.","","","","","","","",,,,,"",,,,"CarePlan.activity.reference",0,1,"cpl-3
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.activity.detail","CarePlan.activity.detail","","","",0,1,"","","","BackboneElement {[]} {[]}
","In-line definition of activity","A simple summary of a planned activity suitable for a general care plan system (e.g. form driven) that doesn't know about specific resources such as procedure etc.","","Details in a simple form for generic care plan systems.","","","","","","","",,,,,"",,,,"CarePlan.activity.detail",0,1,"cpl-3
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"planer-hacking-careplan","CarePlan.activity.detail.id","CarePlan.activity.detail.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"planer-hacking-careplan","CarePlan.activity.detail.extension","CarePlan.activity.detail.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
